"code_domaine_competence","domaine_competence","code_enjeu","enjeu","code_objectif","objectif","code_macro_competence","code_ogr_macro_competence","libelle_macro_competence","code_ogr_competence","libelle_competence"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","502246","Assurer la sécurité des élèves lors des interclasses"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","502326","Encadrer des projets éducatifs individuels ou de groupe"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","505424","Encourager la participation des élèves dans les activités scolaires"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","506292","Encadrer les activités en plein air et les sorties éducatives"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","511164","Accompagner et veiller à la sécurité des élèves lors des activités périscolaires"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","511169","Surveiller les élèves dans les espaces communs, en permanence, lors des épreuves d'examen et des sorties"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","511170","Assister le CPE (Conseiller Principal d'Education)"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","511816","Participer aux activités extrascolaires (sorties, ateliers, activités sportives, etc.)"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","512025","Construire et mener un projet éducatif alliant réussite scolaire et bien être des élèves"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","512031","Coordonner la surveillance des élèves"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","516692","Coordonner les activités de garde"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","103928","Présenter l'exercice aux pratiquants et apporter un appui technique"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","109177","Définir un projet d'entraînement sportif"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","114457","Concevoir et mettre en place un programme de préparation physique"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A103","300032","Concevoir et animer des activités sportives","120424","Expliquer les conditions de pratique d'une activité sportive"
