"code_ogr","libelle","code_rubrique"
"101202","Terminer l'ouvrage du métier, réaliser les opérations de finition (tonte, apprêt, repassage) et d'emballage","1"
"101227","Sélectionner les matières et fournitures (fil, tissu, fermoirs, ...) de la gamme de produits","1"
"101256","Concevoir une gamme, une collection de matières premières","1"
"101273","Déterminer les conditions de réfection ou de réalisation de l'article (siège, tenture, ...) ou d'un ensemble d'ameublement selon l'état, le style de mobilier, le délai, le coût des matériaux","1"
"101275","Mesurer les murs, fenêtres et déterminer les quantités de matériaux et accessoires nécessaires","1"
"101286","Réaliser des décors","1"
"101287","Réaliser des garnitures de siège","1"
"101288","Réaliser des matelas","1"
"101299","Poser des stores","1"
"101311","Assister les collaborateurs au niveau commercial ou technique","1"
"101430","Constater les dommages, dégâts, pertes sur les lieux du sinistre et auprès des assurés","1"
"101431","Recueillir les preuves, témoignages et rapports de police auprès des parties impliquées dans le sinistre (victimes, témoins, services de secours, ...)","1"
"101563","Arrêter les termes d'un contrat","1"
"101596","Gérer des portefeuilles d'actifs financiers","1"
"101615","Réguler la vente d'actifs financiers sur le marché boursier","1"
"101622","Procéder à l'enregistrement, au tri, à l'affranchissement du courrier","1"
"101750","Confectionner des confiseries","1"
"101901","Accueillir le client et l'installer","1"
"101902","Identifier la coiffure attendue et conseiller le client","1"
"101903","Réaliser le diagnostic capillaire, les préparations du lavage et le shampoing","1"
"101905","Procéder à la mise en forme, au coiffage, à la fixation des cheveux (bouclage, brushing, ...)","1"
"101906","Présenter au client sa coiffure sous différents angles pour recueillir son avis","1"
"101916","Réaliser des prestations de coiffure","1"
"101917","Réaliser des soins de manucure, pédicure","1"
"101918","Réaliser une coupe ou une coiffure","1"
"101924","Accueillir la personne, identifier les soins appropriés et lui en présenter les modalités (résultats attendus, durée de traitement)","1"
"101925","Installer une personne, un client","1"
"101926","Pratiquer des soins d'hydrothérapie","1"
"101928","Informer les personnels de santé des réactions de la personne (rougeur, essoufflement, ...)","1"
"101934","Pratiquer des soins d'hydrothérapie par techniques d'aspersion ou de baignade","1"
"101936","Pratiquer des soins d'hydrothérapie par gargarisme, inhalation, irrigation, pulvérisation, nébulisation","1"
"101937","Pratiquer des soins d'hydrothérapie par techniques manuelles drainantes, relaxantes, raffermissantes, stimulantes","1"
"101946","Effectuer l'entretien de premier niveau","1"
"101952","Réaliser la location de matériel de plage","1"
"101962","Déterminer les modes de nettoyage en fonction des types de tissus (lavage à sec, blanchisserie, repassage, etc)","1"
"101967","Restituer les articles au client après contrôle du nettoyage, repassage","1"
"101974","Repasser du textile (vêtements, linge)","1"
"101979","Réaliser des montages délicats","1"
"101980","Réaliser la pose de fermeture à glissière","1"
"101981","Réaliser des opérations de rempliage (ourlet, couture surpiquée...) sur des articles textiles","1"
"101988","Déterminer les réparations ou modifications de l'article","1"
"102006","Réaliser des faire-part et cartes de visite","1"
"102016","Identifier les retouches, réparations à réaliser sur le vêtement et renseigner le client sur les conditions","1"
"102019","Insérer les éléments de serrage (élastique, ...), renfort et protection (coudière, ...) sur l'article","1"
"102020","Assembler et fixer les différents éléments (doublure, col, manche, ...) par couture","1"
"102026","Retoucher ou faire des modifications","1"
"102030","Retoucher ou faire des modifications sur tissu","1"
"102039","Retoucher ou faire des modifications sur un vêtement","1"
"102043","Réaliser des accessoires (sacs, chapeaux, ...) à partir d'un patron, d'un modèle","1"
"102044","Réaliser des costumes à thème à partir d'un patron, d'un modèle","1"
"102046","Confectionner un article textile","1"
"102047","Réaliser des vêtements de cérémonie à partir d'un patron, d'un modèle","1"
"102048","Concevoir des protocoles de soins esthétiques","1"
"102049","Réaliser des soins mortuaires","1"
"102050","Réaliser des soins du visage et du corps","1"
"102054","Réaliser des soins d'épilation","1"
"102056","Réaliser des soins de perçage corporel, piercing","1"
"102057","Réaliser des soins de pose de faux-cils, bijoux de peau, tatouages temporaires","1"
"102061","Réaliser des tatouages permanents","1"
"102062","Pratiquer des techniques manuelles drainantes, relaxantes, raffermissantes et stimulantes","1"
"102084","Réaliser une composition florale","1"
"102142","Réaliser les réglages ou la maintenance de premier niveau d'instruments de musique","1"
"102143","Réaliser les réglages ou la maintenance de premier niveau d'équipements de sport","1"
"102175","Réaliser la maintenance de premier niveau","1"
"102318","Etablir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques)","1"
"102357","Adapter le plan d'implantation des articles","1"
"102445","Analyser des dysfonctionnements et des difficultés techniques de connexion au site ou d'utilisation des services par les internautes","1"
"102454","Recueillir des informations préalables à l'écriture lors d'enquête, de recherche documentaire, d'interview, ...","1"
"102463","Créer des illustrations visuelles ou sonores en utilisant l'animation d'images, de textes, de dessins ou de photos","1"
"102471","Rédiger des correspondances pour le compte de particuliers ou d'entreprises","1"
"102472","Rédiger des documents administratifs pour le compte de particuliers ou d'entreprises","1"
"102476","Adapter et préparer un écrit","1"
"102486","Ecrire des chansons, livrets d'opéra, comédies musicales","1"
"102489","Ecrire des légendes d'iconographies, livrets d'exposition (peintures, photographies, ...)","1"
"102518","Réaliser une revue de presse","1"
"102536","Concevoir un projet de communication multicanal","1"
"102539","Concevoir des jeux vidéo innovants et attractifs","1"
"102556","Collecter et préparer les textes, illustrations","1"
"102557","Concevoir la maquette, la mise en page, l'intégration des textes et le traitement des images","1"
"102558","Contrôler les textes, les épreuves et la structure des livres, des ouvrages, de revues","1"
"102559","Valider les textes, le Bon à Tirer","1"
"102560","Suivre des projets d'édition avec les intervenants, auteurs, illustrateurs, imprimeurs, correcteurs","1"
"102562","Rédiger une note de lecture","1"
"102612","Actualiser des bases de données","1"
"102638","Développer des films et des photographies","1"
"102639","Réaliser un album photos","1"
