entity_id,entity_kind,label_text,label_norm,label_type,language,source
SKL_e5951109da58,skill,Tester la résilience des systèmes face aux pannes,tester la resilience des systemes face aux pannes,preferred,fr,ROME
SKL_2bda6d3992d4,skill,Assurer la conformité réglementaire des solutions cloud,assurer la conformite reglementaire des solutions cloud,preferred,fr,ROME
SKL_086aef092d5f,skill,Intégrer des solutions écologiques dans les infrastructures cloud,integrer des solutions ecologiques dans les infrastructures cloud,preferred,fr,ROME
SKL_4f0dbc66ae10,skill,Promouvoir l'utilisation de technologies vertes dans le cloud,promouvoir l'utilisation de technologies vertes dans le cloud,preferred,fr,ROME
SKL_dc57947c87ee,skill,Elaborer des stratégies de sauvegarde des données,elaborer des strategies de sauvegarde des donnees,preferred,fr,ROME
SKL_08cf0f912d5c,skill,Conduire des réunions de projet cloud,conduire des reunions de projet cloud,preferred,fr,ROME
SKL_46a77b7e0124,skill,Assurer la liaison entre les équipes techniques et non techniques,assurer la liaison entre les equipes techniques et non techniques,preferred,fr,ROME
SKL_c4b9054be135,skill,Evaluer l'impact environnemental des solutions cloud,evaluer l'impact environnemental des solutions cloud,preferred,fr,ROME
SKL_ab2bba24bef4,skill,Surveiller les tendances du marché du cloud,surveiller les tendances du marche du cloud,preferred,fr,ROME
SKL_445040a58ee7,skill,Adapter les solutions cloud aux besoins spécifiques des clients,adapter les solutions cloud aux besoins specifiques des clients,preferred,fr,ROME
SKL_30b9ef76d25d,skill,Résoudre les problèmes techniques,resoudre les problemes techniques,preferred,fr,ROME
SKL_2f344f5980b0,skill,Sécurité des applications cloud,securite des applications cloud,preferred,fr,ROME
SKL_33204119e223,skill,Monitoring et performance du cloud,monitoring et performance du cloud,preferred,fr,ROME
SKL_7bceeef918c6,skill,Intégration de services tiers dans le cloud,integration de services tiers dans le cloud,preferred,fr,ROME
SKL_ff46f67bf0ea,skill,Analyse des besoins clients pour le cloud,analyse des besoins clients pour le cloud,preferred,fr,ROME
SKL_d021e87fb75d,skill,Conformité et réglementations du cloud,conformite et reglementations du cloud,preferred,fr,ROME
SKL_2e9e7cc210c6,skill,Stratégies de backup et de récupération cloud,strategies de backup et de recuperation cloud,preferred,fr,ROME
SKL_91fd405143c4,skill,Evaluation des risques liés au cloud,evaluation des risques lies au cloud,preferred,fr,ROME
SKL_7f6fa7ff4cb5,skill,Développement de politiques de gouvernance cloud,developpement de politiques de gouvernance cloud,preferred,fr,ROME
SKL_5070a842190d,skill,Communiquer les résultats aux parties prenantes,communiquer les resultats aux parties prenantes,preferred,fr,ROME
SKL_f266873d7184,skill,Contrôler la qualité et la conformité des process,controler la qualite et la conformite des process,preferred,fr,ROME
SKL_0eb96549bbaa,skill,Respecter les délais de production pour répondre aux demandes des clients,respecter les delais de production pour repondre aux demandes des clients,preferred,fr,ROME
SKL_0e1d17eb13c2,skill,Documenter les solutions techniques pour les développeurs,documenter les solutions techniques pour les developpeurs,preferred,fr,ROME
SKL_f3c431d10ce0,skill,Gestion de version de code,gestion de version de code,preferred,fr,ROME
SKL_85c14ea1f745,skill,Renseigner les supports de suivi d'intervention,renseigner les supports de suivi d'intervention,preferred,fr,ROME
SKL_563fe2ea6dee,skill,"Détecter les dysfonctionnements des installations, déterminer les causes de panne et établir les demandes d'intervention de maintenance","detecter les dysfonctionnements des installations, determiner les causes de panne et etablir les demandes d'intervention de maintenance",preferred,fr,ROME
SKL_08ad610f183d,skill,Rédiger un rapport d'évaluation,rediger un rapport d'evaluation,preferred,fr,ROME
SKL_a0b487804872,skill,Réaliser un diagnostic à partir de dysfonctionnements constatés,realiser un diagnostic a partir de dysfonctionnements constates,preferred,fr,ROME
SKL_b98d13b7a7f4,skill,Rédiger un compte rendu de réunion,rediger un compte rendu de reunion,preferred,fr,ROME
SKL_b2a7790f3bcb,skill,Planifier des interventions de maintenance,planifier des interventions de maintenance,preferred,fr,ROME
SKL_316c19190469,skill,Contrôler le déroulement de travaux,controler le deroulement de travaux,preferred,fr,ROME
SKL_eeecf557e67b,skill,Contrôler l'état d'avancement des travaux,controler l'etat d'avancement des travaux,preferred,fr,ROME
SKL_9a4a245244c4,skill,Sensibiliser à l'environnement et promouvoir le développement durable,sensibiliser a l'environnement et promouvoir le developpement durable,preferred,fr,ROME
SKL_66dcf15ec98b,skill,Mettre en place des indicateurs de performance technique,mettre en place des indicateurs de performance technique,preferred,fr,ROME
SKL_46158ca41829,skill,Assurer la maintenance préventive de base des équipements,assurer la maintenance preventive de base des equipements,preferred,fr,ROME
SKL_c46c1f02d161,skill,Intégrer l'écoresponsabilité dans toutes les dimensions de son activité,integrer l'ecoresponsabilite dans toutes les dimensions de son activite,preferred,fr,ROME
SKL_2f0fb52ae9a2,skill,Respecter les règles de sécurité dont le port des EPI et la tenue vestimentaire adaptée,respecter les regles de securite dont le port des epi et la tenue vestimentaire adaptee,preferred,fr,ROME
SKL_952740d1e5d4,skill,Coordonner les activités de l'équipe sur le terrain,coordonner les activites de l'equipe sur le terrain,preferred,fr,ROME
SKL_3ec76b821ac0,skill,Analyser les données d'exploitation pour améliorer le service,analyser les donnees d'exploitation pour ameliorer le service,preferred,fr,ROME
SKL_b64c22b6496e,skill,Développer des stratégies d'expansion du réseau,developper des strategies d'expansion du reseau,preferred,fr,ROME
SKL_c5f044ea160e,skill,Collaborer avec d'autres services pour l'efficacité,collaborer avec d'autres services pour l'efficacite,preferred,fr,ROME
SKL_33ef63f6315b,skill,Animer des réunions de suivi de travaux,animer des reunions de suivi de travaux,preferred,fr,ROME
SKL_4c69bd316252,skill,Contrôler une opération de maintenance,controler une operation de maintenance,preferred,fr,ROME
SKL_8f479a44e368,skill,Evaluer les risques liés aux projets de fibre,evaluer les risques lies aux projets de fibre,preferred,fr,ROME
SKL_b08a8338dbd9,skill,Négocier avec les fournisseurs pour l'achat de matériel et de services,negocier avec les fournisseurs pour l'achat de materiel et de services,preferred,fr,ROME
SKL_5fbe21bc728f,skill,"Utilisation d'appareils de mesure optique (réflectomètre, wattmètre optique, photomètre, stylo optique ...)","utilisation d'appareils de mesure optique (reflectometre, wattmetre optique, photometre, stylo optique ...)",preferred,fr,ROME
SKL_b8e7217dd8a0,skill,Génie civil,genie civil,preferred,fr,ROME
SKL_b0a646f90e0a,skill,Voirie Réseaux Divers (VRD),voirie reseaux divers (vrd),preferred,fr,ROME
SKL_82d72768b9eb,skill,Autorisation d'intervention à proximité des réseaux (AIPR),autorisation d'intervention a proximite des reseaux (aipr),preferred,fr,ROME
SKL_bb27fd2e39da,skill,Maîtrise des logiciels de cartographie et SIG,maitrise des logiciels de cartographie et sig,preferred,fr,ROME
SKL_185757dfc8c3,skill,Techniques de raccordement de câbles optiques,techniques de raccordement de cables optiques,preferred,fr,ROME
SKL_33792e102650,skill,Analyse de la qualité du signal optique,analyse de la qualite du signal optique,preferred,fr,ROME
SKL_772a651c0431,skill,Evolution des règles de l'ARCEP / Mission THD,evolution des regles de l'arcep / mission thd,preferred,fr,ROME
SKL_ad5ea1dbf409,skill,Outils de reporting,outils de reporting,preferred,fr,ROME
SKL_149224c4d661,skill,"Progiciels de ""Workflow""","progiciels de ""workflow""",preferred,fr,ROME
SKL_53d753115d7a,skill,Logiciel d'exploitation qui attribue et gère les bras optiques,logiciel d'exploitation qui attribue et gere les bras optiques,preferred,fr,ROME
SKL_d4ea197fa4a8,skill,"Ingénieur diplômé de l'école nationale supérieure d'électrotechnique, d'électronique, d'informatique, d'hydraulique et des télécommunications de l'institut national polytechnique de Toulouse spécialité informatique et télécommunications","ingenieur diplome de l'ecole nationale superieure d'electrotechnique, d'electronique, d'informatique, d'hydraulique et des telecommunications de l'institut national polytechnique de toulouse specialite informatique et telecommunications",preferred,fr,ROME
SKL_8b07effede98,skill,Documenter les interventions et les anomalies rencontrées,documenter les interventions et les anomalies rencontrees,preferred,fr,ROME
SKL_1f016dd70007,skill,Sensibiliser et former les personnels aux consignes de sécurité et de prévention,sensibiliser et former les personnels aux consignes de securite et de prevention,preferred,fr,ROME
SKL_c369b2be8e3d,skill,Analyser les risques de sécurité pour les systèmes informatiques,analyser les risques de securite pour les systemes informatiques,preferred,fr,ROME
SKL_c3bd1f6ef3a5,skill,Tester la résilience des systèmes face aux attaques simulées,tester la resilience des systemes face aux attaques simulees,preferred,fr,ROME
SKL_f124284db20e,skill,Documenter les procédures de sécurité pour le personnel technique,documenter les procedures de securite pour le personnel technique,preferred,fr,ROME
SKL_829f0920c49d,skill,Participer à des conférences sur la sécurité pour rester informé des dernières menaces,participer a des conferences sur la securite pour rester informe des dernieres menaces,preferred,fr,ROME
SKL_095ea598d479,skill,Utiliser des outils de cryptographie pour sécuriser les données,utiliser des outils de cryptographie pour securiser les donnees,preferred,fr,ROME
SKL_7bd8d79270c8,skill,Analyser les logs pour identifier les tentatives d'intrusion,analyser les logs pour identifier les tentatives d'intrusion,preferred,fr,ROME
SKL_d9030c74bea1,skill,Superviser les équipes de sécurité lors des audits externes,superviser les equipes de securite lors des audits externes,preferred,fr,ROME
SKL_1bc4fb07f5b5,skill,Gestion des accès et des identités,gestion des acces et des identites,preferred,fr,ROME
SKL_0c58b165d57e,skill,Sécurité des réseaux sans fil,securite des reseaux sans fil,preferred,fr,ROME
SKL_291c13aa8b7d,skill,Sécurité physique des systèmes informatiques,securite physique des systemes informatiques,preferred,fr,ROME
SKL_c03acc97253b,skill,Protection des données personnelles,protection des donnees personnelles,preferred,fr,ROME
SKL_d678036380ac,skill,Sécurité des transactions électroniques,securite des transactions electroniques,preferred,fr,ROME
SKL_d50b181ebb2c,skill,Sécurité des paiements en ligne,securite des paiements en ligne,preferred,fr,ROME
SKL_f5fa620c6da9,skill,Sécurité des serveurs web,securite des serveurs web,preferred,fr,ROME
SKL_4fffa72df87b,skill,Sécurité des communications unifiées,securite des communications unifiees,preferred,fr,ROME
SKL_70cf136836d5,skill,Sécurité des infrastructures critiques,securite des infrastructures critiques,preferred,fr,ROME
SKL_9781e6918789,skill,Expert en cybersécurité des systèmes d'information,expert en cybersecurite des systemes d'information,preferred,fr,ROME
SKL_2a0ab2a27860,skill,Expert en sécurité des systèmes d'information,expert en securite des systemes d'information,preferred,fr,ROME
SKL_935f71d87b71,skill,Ingénieur diplômé de l'institut national des sciences appliquées Centre Val de Loire spécialité sécurité informatique,ingenieur diplome de l'institut national des sciences appliquees centre val de loire specialite securite informatique,preferred,fr,ROME
SKL_afef320ab94a,skill,Ingénieur diplômé de l'institut national des sciences appliquées Hauts-de-France spécialité informatique et cybersécurité (Université polytechnique Hauts-de-France),ingenieur diplome de l'institut national des sciences appliquees hauts-de-france specialite informatique et cybersecurite (universite polytechnique hauts-de-france),preferred,fr,ROME
SKL_d21e4d772b7f,skill,Spécialiste en cybersécurité,specialiste en cybersecurite,preferred,fr,ROME
SKL_7ade5d93eec5,skill,"Comprendre, interpréter des données et documents techniques","comprendre, interpreter des donnees et documents techniques",preferred,fr,ROME
