unified_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,hard_soft,it_subtype,sources,member_entity_ids,wikidata_qid,wikidata_url,wikidata_description,description,description_source
USKL_12dbe6761cd0,use word processing software,utiliser un logiciel de traitement de texte,Google Docs | GNU TeXmacs | IBM Lotus Word Pro | AbiWord | TextEdit | LaTeX | WordGraph | QuickOffice | Calligra Words | Kingsoft Office Writer | LibreOffice Writer | use document processing program | Atlantis Word Processor | Polaris Office | produce text files | type text | make use of word processing software | apply word processing software | use word processor | using word processor | Microsoft Office Word | Apple Pages | Zoho Writer | use word processing | WordPad | able to use using word processing software | Textilus | utilise word processing software | ThinkFree Office | IntelliTalk | use text processing program,,hard,programming_languages,ESCO,SKL_57820393d1d6,,,,"Use computer software applications for composition, editing, formatting, and printing of any sort of written material.",source
USKL_bdbaad20a965,ensure compliance with legal requirements,assurer le respect des exigences légales,ensure compliance with legislative regulations,assurer le respect des prescriptions légales | assurer le respect des règles légales | assurer la conformité aux exigences légales | garantir le respect des exigences légales | veiller au respect des exigences légales | respecter les exigences légales,hard,it_management,ESCO,SKL_36887aac680b,,,,"Guarantee compliance with established and applicable standards and legal requirements such as specifications, policies, standards or law for the goal that organisations aspire to achieve in their efforts.",source
USKL_5d32525c3891,publishing strategy,stratégie de publication,publishing content | publishing content in output media,stratégie éditoriale | stratégie de publication de contenu | projet éditorial | stratégie de publication de contenus | contenu de publication,hard,it_management,ESCO,SKL_e4b4be89e1ff,,,,"The methods, rules, media and tools of publishing content from content management systems in single sources or cross media.",source
USKL_93051fafee65,control engineering,technique de régulation,science of control engineering | engineering process control | process control | field of control engineering | process control engineering | application of control engineering | control systems engineering,génie des contrôles automatiques | commande | contrôle-commande | grandeur réglée | régulation industrielle | théorie de la commande,hard,knowledge_general,ESCO,SKL_9ce4f2faefee,Q4917288,https://www.wikidata.org/wiki/Q4917288,engineering discipline that applies automatic control theory to design systems with desired behaviors in control environments,Subdiscipline of engineering that focuses on controlling the behaviour of systems through the use of sensors and actuators.,source
USKL_aa155f83103d,define ICT network design policies,définir des politiques de conception de réseau TIC,define ICT network architecture framework | establish ICT network design policies | specify ICT network design principles,,hard,networks,ESCO,SKL_d7981c6ceac0,,,,"Specify policies, principles, rules, processes and criteria for the design, planning and realisation of ICT networks.",source
USKL_7401a948ca0b,software architecture models,modèles d’architecture logicielle,software architecture patterns | software architecture frameworks,,hard,programming_languages,ESCO,SKL_dedf1948afc3,,,,"The set of structures and models needed to understand or describe the software system, including the software elements, the relations between them and the properties of both elements and relations.",source
USKL_b47630822689,develop data link services for navigation purposes,développer des services de liaison de données à des fins de navigation,develop data link services for air-ground communication | apply data link services for air-ground communication | implement satellite technologies and data link services for navigation purposes | apply data link services and satellite technologies for navigation purposes | implement data link services and satellite technologies for navigation purposes | create data link services for air-ground communication | develop data link services for air-ground communication operations | create data link services for navigation purposes | apply satellite technologies for air-ground communication | develop data link services for navigation,,hard,programming_languages,ESCO,SKL_1bcd6626f3b2,,,,Develop and implement data link services and satellite technologies for air-ground communication operations.,source
USKL_0684231ff2fc,compare contractors' bids,comparer les offres des soumissionnaires,comparing contractors' bids | compare a contractors' bid | measure contractors' bids | study contractors' bids | contrast contractors' bids | analyse contractors' bids | contractors' bids comparisons,,hard,other_hard,ESCO,SKL_4e7d7d6c7935,,,,Compare proposals to award a contract in order to execute specified jobs within a prescribed frame of time.,source
USKL_e94b9462ad0c,work safely with chemicals,travailler en toute sécurité avec des produits chimiques,working safely with chemicals | operate safely with chemicals | perform duties safely with chemicals,,hard,other_hard,ESCO,SKL_56a834a16738,,,,"Take the necessary precautions for storing, using and disposing chemical products.",source
USKL_dd9f39e08fd5,tools for software configuration management,outils de gestion de configuration logicielle,tools for software version control | Rudder | NOC | OCS Inventory NG with GLPI | Bcfg2 | Rundeck | Synctool | SmartFrog | CFEngine | Local ConFiGuration system | source control | Radmind | cdist | Quattor | ISconf | revision control | NixOS | git | PIKT | software tools for version control | Open pc server integration,logiciels de gestion de versions | outil de gestion de configuration logicielle | logiciels de gestion de la configuration logicielle | GCL | GIT | gestion de versions,hard,programming_languages,ESCO,SKL_5d725c59527d,,,,"The software programs to perform configuration identification, control, status accounting and audit, such as CVS, ClearCase, Subversion, GIT and TortoiseSVN perform this management.",source
USKL_713f51f60556,monitor sociological trends,surveiller des tendances sociologiques,investigate sociological movements | monitor social trends | monitor trends sociologically | observe sociological patterns,,hard,other_hard,ESCO,SKL_c2d63f4be228,,,,Identify and investigate sociological trends and movements in society.,source
USKL_8d2ffdc78ed6,SAS Data Management,SAS Data Management,SAS Data Management software,,hard,knowledge_general,ESCO,SKL_de2ce348c043,,,,"The computer program SAS Data Management is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company SAS.",source
USKL_1aa8df557905,optimise fleet usability,optimiser la facilité d’utilisation du parc,optimise fleet utilisation | optimise utilisation of fleet | optimise usability of fleet | ensure fleet is used optimally | optimize fleet usability | maximise fleet usability | maximise usability of fleet | ensure fleet is used to maximum capacity | ensure fleet is used as efficiently as possible | ensure fleet is used with optimal efficiency | ensure fleet optimisation,,hard,other_hard,ESCO,SKL_27a278a23fd1,,,,"Optimise fleet utilisation, visibility, efficiency and profitability through the use of special ship management software.",source
USKL_cf454f7c5c0d,create risk maps,cartographier des risques,generate risk maps | design risk maps | develop risk maps,,hard,other_hard,ESCO,SKL_56921a87f215,,,,"Use data visualisation tools in order to communicate the specific financial risks, their nature and impact for an organisation.",source
USKL_cf147e552b9f,perform pill branding,marquer des pilules,pill brand applying | pill branding performing | applying brand to pills | apply brand to pills | performing pill branding,,hard,other_hard,ESCO,SKL_1457617046eb,,,,Perform the printing of the institution identity on pills using the pill branding laptop.,source
USKL_2254b00bd481,perform software recovery testing,effectuer des tests de récupération de logiciel,perform software crash and recovery testing,vérifier le fonctionnement de la récupération de logiciel | mener des tests de récupération de logiciel | exécuter des tests de récupération de logiciel | réaliser des tests de récupération de logiciel | contrôler le fonctionnement de la récupération de logiciel,hard,programming_languages,ESCO,SKL_b145b502032c,,,,Execute testing using specialised software tools to force failure of software in a variety of ways and checking how fast and better the software can recover against any type of crash or failure.,source
USKL_85c8eb82fa9f,create 3D texture map,créer une texture 3D,design 3D texture map | generate 3D texture map | construct 3D texture map | produce 3D texture map | develop 3D texture map | build 3D texture map,,hard,other_hard,ESCO,SKL_2cb6b8ad861a,,,,"Add detail, colour or surface texture to a computer-based 3D-model or graphic.",source
USKL_e2a63d98540b,estimate costs of installing telecommunication devices,estimer les coûts d’installation de dispositifs de télécommunication,evaluate costs of installing telecommunication devices | value costs of installing telecommunication devices | estimate the costs of installing telecommunication devices | estimating the costs of installing telecommunication devices | estimate the cost of installing a telecommunication device | assess costs of installing telecommunication devices | measure costs of installing telecommunication devices,,hard,networks,ESCO,SKL_bd826582c7bc,,,,"Estimate the total installation costs of telecommunication devices such as modems, routers, analogue switches, optical fibre, and landline phones.",source
USKL_411a71b404b2,DevOps,DevOps,DevOps development | DevOps based software development | DevOps methodology | DevSecOps,,hard,ai_ml,ESCO | KAGGLE | LIGHTCAST,SKL_738730dbcf3b | SKL_87105c4bcf9d | SKL_9854f1cb84cf | SKL_d109a693537c,,,,The DevOps development approach is a methodology to design software systems and applications focused on the collaboration and between software programmers and other ICT professionals and automation.,source
USKL_0f13b4517b0e,trigonometry,trigonométrie,triangle geometry | trigonometric functions,,hard,knowledge_general,ESCO,SKL_8c496c476189,,,,The subdiscipline of mathematics which explores relationships among angles and lengths of triangles.,source
USKL_9e1b4a865f06,monitor communication channels' performance,suivre la performance des canaux de communication,supervise communication channels' quality | perform visual checks to communication channels | track communication channels' efficiency,,hard,other_hard,ESCO,SKL_6b3b58ffac7b,,,,Search for possible faults. Perform visual checks. Analyse system indicators and use diagnostic devices.,source
USKL_7a4f3fb94e5e,set up automotive robot,configurer un robot dans l’industrie automobile,assemble automotive robotic machining systems | create automotive robotic machining systems | arrange automotive robotic machining systems | create automotive robot | erect automotive robotic machining systems | arrange automotive robot | erect automotive robot | assemble automotive robot,,hard,other_hard,ESCO,SKL_44a8acf4150c,,,,"Set up and programme an automotive robot working on machine processes and substituting or collaboratively supporting human labour, such as the six-axis automotive robot.",source
USKL_1ca5f96c81ea,digital arts,arts numériques,born-digital artworks | digital photography | pixel art,photographie numérique | pixel art | œuvres d'art numériques,hard,knowledge_general,ESCO,SKL_376f3c31b295,Q107392206,https://www.wikidata.org/wiki/Q107392206,"arts using computer-based digital encoding, or on electronic storage and processing of information in different formats, including digital photography, animation, electronic sound and music, graphic design and other digital and interactive media","The production of art through digital tools, software, computers or other electronic devices. It involves the use of various mediums for artistic expression such as digital photography or computer graphics as well as pixel art.",source
USKL_201747ce483e,perform market research,réaliser une étude de marché,complete market research | performing market research | implement market research | market research performance | undertake market research,,hard,other_hard,ESCO,SKL_26feceb26c81,,,,"Gather, assess and represent data about target market and customers in order to facilitate strategic development and feasibility studies. Identify market trends.",source
USKL_41fbd1ae12e3,assess integrated domotics systems,évaluer des systèmes domotiques intégrés,appraise integrated domotics systems | choose domotic systems | evaluate integrated domotics systems,,hard,other_hard,ESCO,SKL_3281c6ade4e0,,,,Understand designs and specifications provided by producers of domotics integrated systems and choose a concept that fulfils specific needs within the project.,source
USKL_e11e5933eeb9,Ajax Framework,Ajax Framework,Ajax Framework features | Ajax Framework features for web applications development | Ajax framework for web applications development | Ajax Framework components | AJAX Development Environments | AJAX Framework for Web Application Development | Ajax framework features for web applications development | Ajax software development environments | Ajax framework components | Ajax framework features | AJAX Framework Features for Web Development | Ajax Framework for web applications development,,hard,programming_languages,ESCO,SKL_b7a8a0c55d12,,,,The Ajax software development environments which provide specific features and components that support and guide web applications development.,source
USKL_7de0954d8cd9,disseminate internal communications,diffuser des communications internes,circulate internal communications | distribute internal communications | disseminating internal communications | disseminate communications internally | disseminate internal communication,,hard,other_hard,ESCO,SKL_603c008969fb,,,,Disseminate internal communications using the different communication channels that a company has at its disposal.,source
USKL_1a129aa16cba,use thermal management,utiliser la gestion thermique,thermal management providing | thermal management using | providing thermal management solutions | using thermal management | provide thermal management | thermal management use | thermal management solutions providing | provide thermal management solutions | providing thermal management,,hard,other_hard,ESCO,SKL_12c9b67d4274,,,,"Provide thermal management solutions for product design, system development and electronic devices used to protect high power systems and applications in demanding environments. These can be eventually collaborated with customers or other engineers.",source
USKL_f4b35f19fee6,manage information sources,gérer les sources d’information,organise information workflows,,hard,other_hard,ESCO,SKL_98ee1426143a,,,,Identify relevant internal and external information sources and providers. Organise the information workflow and define information deliverables.,source
USKL_733131f2a756,ensure compliance with waste legislative regulations,garantir le respect de la législation relative aux déchets,ensuring compliance with waste legislative regulations | ensure compliance with waste legislative regulation | secure compliance with waste legislative regulations | provide compliance with waste legislative regulations | enable compliance with waste legislative regulations | assure compliance with waste legislative regulations,,hard,it_management,ESCO,SKL_dbbc28cf61dd,,,,"Implement and monitor company procedures for the collection, transport and disposal of waste, in compliance with all regulations and legal requirements.",source
USKL_32c8f1852ed0,empirical analysis,analyse empirique,empirical data analysis,analyse de données empiriques | analyse empirique des données,hard,knowledge_general,ESCO,SKL_26b466cb09a0,,,,The evidence-based method that is used to analyse and interpret information with the aim of drawing conclusions about a specific issue.,source
USKL_30531d4d7624,implement strategic management,mettre en œuvre une gestion stratégique,formulate and implement company development strategy | devise strategy for company development | implement management strategy | develop and implement strategic management plan | develop strategy for company development | implement strategic management principles | devise company development strategy | deliver strategic management plan | implement strategic management plan | formulate strategy for company development,,hard,it_management,ESCO,SKL_b28bfaf7b173,,,,"Implement a strategy for the development and transformation of the company. Strategic management involves the formulation and implementation of the major objectives and initiatives of a company by senior management on behalf of the owners, based on consideration of available resources and an assessment of the internal and external environments in which the organisation operates.",source
USKL_97f52888f05c,create digital content,créer du contenu numérique,create content in digital form | edit digital content | produce digital content,,soft,soft_transversal,ESCO,SKL_cd8ba7413876,,,,"Create and edit simple items of digital content, where needed with guidance.",source
USKL_75be69e13632,attack vectors,vecteurs d’attaque,information security threats | cybersecurity threats | ICT security threats,menaces pour la cybersécurité | menaces à la cybersécurité | menaces à la sécurité des TIC | menaces pour la sécurité de l'information,hard,knowledge_general,ESCO,SKL_a4917fa3f867,,,,"Paths or methods that threat actors use to exploit vulnerabilities in information networks or systems from a concrete organisation and impact its availability, integrity and confidentiality. Attack vectors may include social engineering tactics such as phishing mails or pretexting, technical exploits as SQL injection as well as buffer overflow attacks.",source
USKL_6facb6c11291,apply through-hole technology manually,appliquer manuellement une technologie traversante,applying THT manually | use through-hole technology manually | manually applying THT | manually using through-hole technology | using through-hole technology manually | apply THT manually | use THT manually | using THT manually | applying through-hole technology manually | manually using THT | manually applying through-hole technology,,hard,other_hard,ESCO,SKL_e6908c073509,,,,Use through-hole technology (THT) to attach the leads of larger electronic components through the corresponding holes in printed circuit boards. Apply this technique manually.,source
USKL_b8fc419d9340,N1QL,N1QL,Couchbase Query Language | Non-first Normal Form Query Language,,hard,knowledge_general,ESCO,SKL_ea47db501b9f,,,,The computer language N1QL is a query language for retrieval of information from a database and of documents containing the needed information. It is developed by the software company Couchbase.,source
USKL_e42310bdef57,ICT quality policy,politique de qualité des TIC,ICT quality control,,hard,knowledge_general,ESCO,SKL_c1394cfd59bd,,,,"The quality policy of the organisation and its objectives, the acceptable level of quality and the techniques to measure it, its legal aspects and the duties of specific departments to ensure quality.",source
USKL_2c91b18a776d,coordinate engineering teams,coordonner des équipes d’ingénieurs,coordinating engineering teams | co-ordinating engineering teams | engineering team co-ordinating | engineering activities supervising | supervise engineering activities | co-ordinate engineering teams | engineering teams co-ordinating | engineering team coordinating | engineering teams coordinating | supervising engineering activities,,hard,other_hard,ESCO,SKL_0cac93234618,,,,"Plan, coordinate and supervise engineering activities together with engineers and engineering technicians. Ensure clear and effective channels of communication across all departments. Make sure the team is aware of the standards and objectives of the research and development.",source
USKL_e73101fe5f93,data warehouse,entrepôt de données,enterprise data storage | data warehouse solutions | data repository | data warehouses,data warehouse,hard,data_engineering,CSO | ESCO,SKL_3234b49194eb | SKL_f5f12231001c,,,,The data storage system that analyses and reports on data such as a data mart.,source
USKL_7af5d2deb644,track changes in text editing,suivre les modifications dans un traitement de texte,tracking changes in text editing | track changes when editing text | underscore changes in text editing | highlight changes in text editing | keep track of changes in text editing,,hard,other_hard,ESCO,SKL_ff2bf19cec06,,,,"Track changes such as grammar and spelling corrections, element additions, and other modifications when editing (digital) texts.",source
USKL_91701196853c,conduct mobile marketing,faire du marketing mobile,organise mobile marketing | conduct cell phone marketing | mobile marketing conducting | manage mobile marketing | undertake mobile marketing | carry out mobile marketing | conducting mobile marketing | conduct mobile marketing campaign,,hard,other_hard,ESCO,SKL_d2d84c0adc59,,,,Conduct mobile marketing using a mobile device e.g. tablet or smartphone. Gather personalised information and transfer it to customers in order to promote services or goods.,source
USKL_d264f0e3e750,tune up wireless audio systems,régler des systèmes audio sans fil,fine tune wireless audio systems | tuning up wireless audio systems | tune-up wireless audio systems | tune up wireless audio system,,hard,other_hard,ESCO,SKL_3c591965e657,,,,Tune up a wireless audio system in a live situation.,source
USKL_d2616ee5bead,ML (computer programming),ML (programmation informatique),ML | ML systems | ML development principles,,hard,knowledge_general,ESCO,SKL_5a85416c775f,,,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ML.",source
USKL_490405f8a4d8,create concept of digital game,créer un concept de jeu numérique,design concepts of digital games,,hard,other_hard,ESCO,SKL_fe3854279608,,,,"Develop and communicate every aspect of overall game vision. Communicate and collaborate with technical crew, artistic and design teams to implement the game vision.",source
USKL_d6de0030a4c5,use markup languages,utiliser des langages de balisage,use html | use mark-up languages | use XHTML | use HTML | use Html,utiliser SVG | utiliser XHTML | utiliser RSS | utiliser des langages de description de page | utiliser XML | utiliser des langages de description | utiliser HTML,hard,other_hard,ESCO,SKL_caa92afcdf36,,,,"Utilise computer languages that are syntactically distinguishable from the text, to add annotations to a document, specify layout and process types of documents such as HTML.",source
USKL_e155d03fe247,use CAD for heels,utiliser la CAO pour réaliser des talons,employ computer-aided design for heels | heel CAD designing | utilise computer-aided design for heels | use computer-aided design for heels | utilize computer-aided design for heels | use 2D and 3d CAD for heels | utilise CAD for heels | utilize CAD for heels | employ CAD for heels,,hard,other_hard,ESCO,SKL_14211dfcd2ed,,,,"Digitise and scan the lasts. Work with files in various CAD systems. Produce 3D models of heels and create 2D computer aided designs. Grade and obtain the size series. Prepare technical specifications for manufacturing. Produce 2D and 3D computer aided engineering designs and technical drawings of moulds for vulcanised and injected heels. Export the files of the virtual models to 3D printers, CAM or CNC systems.",source
USKL_eceb84ff7a68,organisational resilience,résilience organisationnelle,business resilience | operational resilience | organizational resilience,résilience opérationnelle | capacité de résilience organisationnelle | principe de résilience organisationnelle | indicateur de résilience organisationnelle | résistance organisationnelle | 6ZRI,hard,knowledge_general,ESCO,SKL_4a174ce373ac,,,,"The strategies, methods and techniques that increase the organisation's capacity to protect and sustain the services and operations that fulfil the organisational mission and create lasting values by effectively addressing the combined issues of security, preparedness, risk and disaster recovery.",source
USKL_7763c2e16669,manage environmental impact of operations,gérer l’incidence environnementale des activités,assess and monitor operations impact on the environment | environmental impact management | environmental impact assessment and monitoring | manage operations impact on the environment | assess and monitor environmental impact | manage environmental impact,,hard,other_hard,ESCO,SKL_4e7bcf525ff7,,,,"Manage the interaction with and impact on the environment by companies. Identify and assess environmental impacts of the production process and related services, and regulate a reduction of the effects on the environment and on people. Organise action plans and monitor any indicators of improvement.",source
USKL_ff504f0da3ab,transpose music,transposer de la musique,translate music into different key | transfer music into alternate key | transposing music,,hard,other_hard,ESCO,SKL_3ff4df2f4b2b,,,,Transposing music into an alternate key while keeping the original tone structure.,source
USKL_9fccd52ae347,ICT networking hardware,équipement d’interconnexion réseau,ICT networking devices | computer networking devices,ponts | équipement d’interconnexion | routeurs | passerelles | concentrateurs | répéteur | commutateurs | équipements d’interconnexion d’un réseau informatique,hard,hardware_embedded,ESCO,SKL_45833ea0a545,,,,"The ICT network equipment or computer networking devices, such as UPS systems, electrical systems, networking facilities and structured cabling systems.",source
USKL_2e65cc819ed4,computational linguistics,linguistique informatique,computational linguistic studies | linguistics of computation | computing linguistics | the study of computational linguistics,informatique linguistique | linguistique computationnelle,hard,knowledge_general,ESCO,SKL_a2661129e9b3,Q182557,https://www.wikidata.org/wiki/Q182557,interdisciplinary field studying language from a computational perspective,The computer science field that researches the modelling of natural languages into computational and programming languages.,source
USKL_da684807d1ca,tend CNC metal punch press,utiliser une poinçonneuse à métaux CNC,take care of CNC metal punch press | tend computer numerical controlled metal punch presses | guard computer controlled punch machine | watch over CNC metal punch press | watch over computer controlled punch machine | oversee computer controlled punch machine | oversee CNC metal punch press | take care of computer controlled punch machine | guard CNC metal punch press,,hard,other_hard,ESCO,SKL_a615d71b80f8,,,,Monitor and operate a computer numerical controlled (CNC) metal punch press according to regulations.,source
USKL_a1eb6b9e3b45,Strategic planning,Planification stratégique,strategic planning | strategic plans | tactical planning | strategic plan | ITSP,planning stratégique | planification stratégique,hard,it_management,ESCO | ROME | SFIA,SKL_01b009086017 | SKL_5d94e97caa50 | SKL_e4935c7ad5fa,,,,"Creating and maintaining organisational-level strategies to align overall business plans, actions and resources with high-level business objectives.",source
