Niveau;Code ISCO;Libellé
4;9216;Manœuvres pêcheurs et aquaculteurs
2;9300;Manœuvres des mines, du bâtiment et des travaux publics, des industries manufacturières et des transports
3;9310;Manœuvres des mines, du bâtiment et des travaux publics
4;9311;Manœuvres des mines et des carrières
4;9312;Manoeuvres de chantier de travaux publics
4;9313;Manœuvres du bâtiment
3;9320;Manœuvres des industries manufacturières
4;9321;Emballeurs à la main et autres manœuvres des industries manufacturières
4;9329;Manœuvres des industries manufacturières non classés ailleurs
3;9330;Manœuvres des transports et de l'entreposage
4;9331;Conducteurs de véhicules à bras et à pédales
4;9332;Conducteurs de véhicules et de machines à traction animale
4;9333;Manutentionnaires
4;9334;Garnisseurs de rayons
2;9400;Assistants de préparation d'aliments
3;9410;Assistants de préparation d'aliments
4;9411;Cuisiniers, restauration rapide
4;9412;Aides de cuisine
2;9500;Vendeurs ambulants et autres petits métiers de rues et assimilés
3;9510;Petits métiers de rue et assimilés
4;9510;Petits métiers de rue et assimilés
3;9520;Vendeurs ambulants (à l'exception de l'alimentation)
4;9520;Vendeurs ambulants (à l'exception de l'alimentation)
2;9600;Éboueurs et autres professions élémentaires
3;9610;Éboueurs
4;9611;Manœuvres, enlèvement des ordures et matériel recyclable
4;9612;Trieurs de déchets
4;9613;Balayeurs et manœuvres assimilés
3;9620;Autres professions élémentaires
4;9621;Messagers, porteurs de bagages et livreurs de colis
4;9622;Manœuvres polyvalents
4;9623;Encaisseurs de distributeurs automatiques à prépaiement et releveurs de compteurs
4;9624;Porteurs d'eau et ramasseurs de bois de feu
4;9629;Professions élémentaires non classées ailleurs
4;9900;Codage à blanc
1;0000;Professions militaires
2;0100;Officiers des forces armées
3;0110;Officiers des forces armées
4;0110;Officiers des forces armées
2;0200;Sous-officiers des forces armées
3;0210;Sous-officiers des forces armées
4;0210;Sous-officiers des forces armées
2;0300;Autres membres des forces armées
3;0310;Autres membres des forces armées
4;0310;Autres membres des forces armées
